time,callsign,parameter,x,y,maneuvering_time,maneuvering_parameter,time_offset,condition,WTC,flight level,head,velocity,cas,heading,altitude,drct,sknt,skyl1,distance_to_changi,bearing_to_changi,is_peakhour,is_planroute,num_planroute,nearest_wp,nearest_wp_dist_km,num_other_plane,duration
22857,THA413,280,104.1051193,2.417643797,22884,290,27,,2,0,0,1,261.7670355,179.4510985,16375.0,170.0,11,1800,118.6542573,186.299864,0,True,9.0,PIBAP,9.813115092,22,5.5679999999993015
22922,SIA256,295,104.6766925,0.81317436,22958,295,36,,2,0,1,0,274.5929695,291.1866628,17275.0,170.0,11,1800,97.56491695,308.3074447,0,True,5.0,IBULA,9.164744381,22,5.258669999999256
22932,JSA762,350,104.2649419,1.272551939,22935,355,3,,1,0,1,0,202.7592704,248.9414249,10875.0,170.0,11,1800,32.18663829,286.9654223,0,True,6.0,DOVAN,8.31735421,21,5.258659999999509
22956,SIA937,295,104.7141382,0.798980612,22968,295,12,,2,0,1,0,284.0474527,291.3961014,19425.0,170.0,11,1800,101.8190713,307.5526446,0,True,5.0,IBULA,13.6182427,21,4.204799999999523
23011,SIA631,285,104.9359131,1.175125055,23015,285,4,,2,0,1,0,259.6412953,269.9130754,20000.0,170.0,11,1800,107.3004143,280.8740901,0,True,4.0,KEXAS,14.57438737,21,5.845339999999851
23011,SIA631,14000,104.9359131,1.175125055,23019,14000,8,,2,1,0,0,259.6412953,269.9130754,20000.0,170.0,11,1800,107.3004143,280.8740901,0,True,4.0,KEXAS,14.57438737,21,5.845339999999851
23049,SIA607,150,104.1054676,1.902282648,23054,150,5,,2,0,1,0,234.1953248,179.3923999,10325.0,170.0,11,1800,62.0225066,192.1541096,0,True,9.0,PASPU,9.423099594,22,3.806110000001354
23064,THA413,250,104.1050246,2.084050421,23101,260,37,,2,0,0,1,300.1595828,180.0,10025.0,170.0,11,1800,81.88391245,189.1415571,0,True,9.0,PASPU,10.67612854,22,3.806109999997716
23106,SIA631,220,104.7934222,1.207378786,23135,210,29,,2,0,0,1,247.3035204,286.1264482,16825.0,170.0,11,1800,91.06900066,280.5351437,0,False,,KEXAS,4.124588859,22,4.517049999998562
23124,THA413,160,104.105001,1.994321058,23149,160,25,,2,0,1,0,272.0234505,180.5196135,9187.5,170.0,11,1800,72.05015268,190.400085,0,True,9.0,PASPU,0.754242698,22,4.517049999998562
23183,SIA631,290,104.6960783,1.235474171,23186,290,3,,2,0,1,0,216.0152682,286.5500565,15100.0,170.0,11,1800,79.86603306,279.7489907,0,False,,KEXAS,14.01075971,22,4.517060000001948
23206,SIA827,140,104.1055929,2.408100665,23214,140,8,,2,0,1,0,225.5084609,180.8830629,18675.0,170.0,11,1800,117.6054122,186.3820821,0,True,9.0,PIBAP,10.86854985,22,5.8422800000007555
23288,TGW979,140,104.1049299,2.107233591,23293,140,5,,2,0,1,0,234.731876,180.0,13325.0,170.0,11,1800,84.42839412,188.8565815,0,True,9.0,PASPU,13.23962714,22,5.119999999998981
23303,SIA827,230,104.1715253,2.299850397,23310,225,7,,2,0,1,0,229.3204426,138.770497,16700.0,170.0,11,1800,106.805801,191.012445,0,False,,PIBAP,24.00691724,22,3.9680000000007567
23316,SIA256,250,104.2542397,1.187873427,23346,230,30,,2,0,0,1,284.7021112,343.7424363,8975.0,170.0,11,1800,35.06650964,302.4347131,0,False,,IGNON,6.270022872,22,2.8373300000021118
23357,SIA631,11000,104.5019996,1.312042102,23370,5000,13,,2,1,0,0,208.6140328,290.7571573,14000.0,170.0,11,1800,57.3569133,275.0060579,0,False,,HOSBA,10.97620412,22,8.319999999999709
23388,SIA631,250,104.4678101,1.324969679,23396,250,8,,2,0,1,0,208.437656,290.8984066,13675.0,170.0,11,1800,53.45661632,273.8258199,0,False,,HOSBA,7.012219817,22,4.576000000000931
23405,SIA827,150,104.1395904,2.192321643,23413,160,8,,2,0,1,0,219.0689406,225.9700444,14600.0,170.0,11,1800,94.3991522,190.2834526,0,False,,PASPU,22.97288059,21,3.311999999998079
23412,TGW979,155,104.1971052,1.973326989,23417,180,5,,2,0,1,0,249.596757,138.956418,10883.33333,170.0,11,1800,72.36616729,198.7366414,0,False,,PASPU,10.36617169,21,3.311999999998079
23430,TGW979,200,104.2112808,1.955108587,23474,210,44,,2,0,0,1,243.3957027,148.1397036,10575.0,170.0,11,1800,70.98610495,200.4666743,0,False,,PASPU,12.35473804,21,4.096000000001368
23485,TGW979,185,104.2446123,1.893539317,23489,185,4,,2,0,1,0,233.0644889,152.7986743,9800.0,170.0,11,1800,66.1278816,205.5553188,0,False,,PASPU,18.68722111,21,3.6479999999974098
23548,SIA827,165,104.189704,2.031852622,23554,165,6,,2,0,1,0,239.7197033,147.3283328,12112.5,170.0,11,1800,78.31743117,196.6368839,0,False,,PASPU,10.62326062,21,6.799999999999272
23690,SIA827,180,104.2510196,1.862694584,23692,175,2,,2,0,1,0,237.8599144,162.2026724,9525.0,170.0,11,1800,63.37635523,207.4741946,0,False,,PASPU,21.31607063,20,4.607999999996537
24115,TGW809,260,104.8015673,1.171905901,24119,260,4,,2,0,1,0,242.5726436,268.4993917,15950.0,170.0,11,1800,92.75474511,282.8289341,0,True,4.0,KEXAS,0.382070791,18,5.55199999999968
24249,SIA278,14000,104.4888718,0.915069468,24261,12500,12,,2,1,0,0,239.2987157,302.1275403,15000.0,170.0,11,1800,74.26583344,311.4329912,0,False,,IBULA,14.69417917,17,3.754660000002332
24262,TGW809,275,104.5828826,1.136945151,24271,305,9,,2,0,1,0,273.1622028,258.851671,12875.0,170.0,11,1800,70.51384097,290.3108027,0,False,,LAVAX,14.66251315,17,3.3280000000013388
24340,SIA278,220,104.3816155,0.982360728,24380,220,40,,2,0,0,1,244.5822795,302.4178983,13225.0,190.0,9,1800,60.41708901,313.5948739,0,False,,DOGRA,19.79419408,16,4.6560000000026776
24452,TGW809,250,104.3352262,1.240241966,24492,230,40,,2,0,0,1,277.8490805,305.6769826,9025.0,190.0,9,1800,40.72475364,288.5940219,0,True,6.0,RUVIK,0.814316497,15,4.799999999999272
24660,SIA278,360,104.2158823,1.32101275,24663,360,3,,2,0,1,0,219.1948498,340.6489245,8000.0,190.0,9,1800,25.64654178,278.9791199,0,True,2.0,DOVAN,0.73165794,15,3.45600000000195
24682,SIA278,200,104.2110015,1.345001087,24732,200,50,,2,0,0,1,217.2515555,0.777697687,7575.0,190.0,9,1800,24.82562115,273.0833907,0,True,2.0,DOVAN,1.987232102,16,2.9760000000023865
24937,SIA761,250,104.1050246,1.973209642,24967,260,30,,1,0,0,1,289.9569561,179.6898654,8275.0,190.0,9,1800,69.7430132,190.7503302,0,True,9.0,PASPU,1.580167306,16,3.360000000000582
25008,SIA707,220,104.1048515,2.198575013,25032,240,24,,2,0,0,1,261.8290153,180.0701747,12275.0,190.0,9,1800,94.47573983,187.9030258,0,True,9.0,PASPU,23.33978543,16,3.00800000000163
25034,TGW607,220,104.1049901,1.967833992,25062,230,28,,2,0,0,1,260.843014,179.0773209,8687.5,190.0,9,1800,69.15512779,190.8395814,0,True,9.0,PASPU,2.174580878,16,2.687999999998283
25176,SIA707,170,104.1050246,1.984366625,25185,165,9,,2,0,1,0,232.3575446,180.2644019,9516.666667,190.0,9,1800,70.96221704,190.5634951,0,True,9.0,PASPU,0.346485659,16,3.776000000001659
25318,SIA238,345,104.3206321,1.254272349,25326,350,8,,2,0,1,0,212.311426,303.8433347,9275.0,190.0,9,1800,38.70152311,287.1703327,0,True,6.0,RUVIK,2.934519992,16,4.351999999998952
25346,SIA238,6000,104.2992802,1.276855431,25368,3000,22,,2,1,0,0,208.9431755,342.9146739,9125.0,190.0,9,1800,35.73274847,284.4454217,0,True,6.0,RUVIK,6.344210826,15,3.5200000000004366
26288,SIA171,250,104.1566887,2.008845387,26312,260,24,,1,0,0,1,294.3765895,187.1404468,9625.0,190.0,9,1800,74.86758915,194.5056316,0,False,,PASPU,6.216026865,10,4.89600000000064
